quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number,Date,Age
18,System_Iota_8,"4816795136","Fair","Normal","Medium","0723863744","2023-08-01T07:04:55.552Z","25"
11,Machine_Pi_15,"7173132800","Poor","Strong","High","0698505280","2023-06-14T02:44:08.832Z","29"
23,Module_Lambda_10,"3074329856","Fair","Weak","Very_High","0246701600","2023-12-03T13:59:22.368Z","27"
1,Engine_Rho_16,"1470749056","Fair","Strong","Low","0904737472","2023-08-06T04:45:20.256Z","55"
17,Component_Kappa_9,"1017441472","Fair","Normal","High","0588166976","2023-11-09T15:42:43.712Z","32"
16,Widget_Alpha_0,"5042344960","Fair","Weak","High","0303061120","2023-08-26T22:01:41.632Z","24"
4,Piece_Theta_7,"1446118400","Fair","Weak","Medium","0764598400","2023-09-08T15:40:51.072Z","33"
5,Module_Lambda_10,"5426428416","Fair","Strong","Medium","0889612544","2023-06-26T06:35:21.984Z","37"
13,Element_Xi_13,"2538238720","Excellent","Weak","High","0197815808","2023-10-25T12:18:54.080Z","24"
14,Component_Kappa_9,"4525932032","Fair","Weak","High","0295206656","2023-10-31T17:44:13.568Z","27"
1,Component_Kappa_9,"0737257600","Fair","Weak","Low","0688096768","2023-09-19T17:30:07.744Z","44"
21,Widget_Alpha_0,"7898414080","Fair","Normal","Very_High","0477316320","2023-10-16T11:45:17.824Z","30"
