quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number,Date,Age
17,Gadget_Beta_1,"5895649280","Fair","Normal","Medium","0570033280","2023-08-21T13:04:04.608Z","29"
20,Module_Lambda_10,"7944085504","Fair","Normal","Very_High","0594371648","2023-10-07T11:40:05.504Z","28"
18,Apparatus_Gamma_2,"2608163328","Poor","Strong","High","0867407424","2023-10-06T09:33:46.880Z","36"
19,Piece_Theta_7,"7781232640","Fair","Weak","High","0129092720","2023-10-01T22:39:59.488Z","21"
9,Component_Kappa_9,"2721226240","Fair","Weak","Medium","0237840928","2023-11-20T18:02:35.392Z","24"
6,Gadget_Beta_1,"3510952960","Fair","Weak","Medium","0250446912","2023-10-07T08:38:46.528Z","24"
20,Widget_Alpha_0,"4180182784","Fair","Strong","Medium","0919735488","2023-05-14T10:00:06.912Z","26"
2,Piece_Theta_7,"1004279232","Fair","Weak","Low","0329772960","2023-10-30T08:49:24.480Z","30"
19,Machine_Pi_15,"3047065344","Fair","Strong","Low","0886188736","2023-05-27T20:37:15.904Z","32"
21,Tool_Epsilon_4,"1434983296","Fair","Normal","High","0368936000","2023-11-16T19:24:59.264Z","35"
4,Widget_Alpha_0,"0600516224","Fair","Normal","Very_Low","0923631168","2023-06-02T03:10:42.176Z","41"
20,Part_Nu_12,"0742192256","Fair","Strong","Very_High","0702641216","2023-11-29T17:54:41.280Z","43"
6,Component_Kappa_9,"4132476928","Fair","Weak","Low","0626747904","2023-07-09T04:51:57.568Z","27"
9,Part_Nu_12,"3366930432","Fair","Normal","Medium","0690980608","2023-07-20T20:26:59.456Z","31"
13,Item_Zeta_5,"2552123648","Fair","Weak","High","0103836656","2023-12-06T22:00:58.624Z","21"
21,Machine_Pi_15,"3422512384","Fair","Normal","High","0739127424","2023-10-13T09:04:49.152Z","34"
1,Machine_Pi_15,"4058254336","Fair","Normal","Low","0894151360","2023-04-11T00:05:46.112Z","28"
14,Element_Xi_13,"5590355968","Fair","Weak","High","0340506048","2023-11-19T18:11:43.232Z","33"
16,Tool_Epsilon_4,"1805095936","Fair","Strong","High","0894396928","2023-09-06T09:19:20.576Z","46"
17,Module_Lambda_10,"2737502208","Poor","Strong","High","0751333376","2023-09-05T03:47:41.184Z","32"
6,Gear_Mu_11,"1408787328","Fair","Normal","Low","0810413504","2023-08-28T14:09:02.976Z","36"
11,System_Iota_8,"4754591232","Fair","Weak","High","0327522880","2023-11-08T08:06:33.216Z","27"
12,Gear_Mu_11,"2735990528","Fair","Strong","Medium","0778674112","2023-06-20T00:19:47.840Z","26"
19,Assembly_Omicron_14,"2542685952","Fair","Weak","Medium","0259434944","2023-10-07T06:40:48.640Z","22"
11,Widget_Alpha_0,"2095907584","Fair","Normal","Medium","0776795648","2023-08-29T20:04:44.160Z","34"
4,Engine_Rho_16,"6434811392","Fair","Weak","Low","0409737056","2023-09-02T02:52:03.968Z","24"
24,Machine_Pi_15,"7055686656","Fair","Normal","High","0251255296","2023-10-19T19:53:27.296Z","24"
11,Apparatus_Gamma_2,"0488726496","Fair","Normal","Low","0695095552","2023-07-15T16:52:41.088Z","28"
1,Gear_Mu_11,"1612009344","Fair","Weak","Low","0709512576","2023-10-02T11:59:31.840Z","56"
2,Element_Xi_13,"1694307328","Fair","Normal","Medium","0686675712","2023-08-28T15:49:32.288Z","41"
14,Item_Zeta_5,"4897183232","Fair","Strong","Medium","0878414528","2023-05-19T23:39:32.224Z","37"
21,Machine_Pi_15,"5825815040","Fair","Weak","High","0306394432","2023-11-05T07:08:44.928Z","21"
9,Widget_Alpha_0,"0643795136","Fair","Normal","Low","0680202624","2023-09-01T03:49:15.392Z","40"
14,Part_Nu_12,"4155170048","Fair","Normal","High","0531374688","2023-09-21T22:19:53.216Z","31"
12,Module_Lambda_10,"0797371840","Fair","Strong","Low","0870393664","2023-07-30T05:40:30.848Z","38"
21,System_Iota_8,"3123222528","Fair","Normal","Medium","0521855648","2023-09-27T07:32:47.744Z","29"
6,Part_Nu_12,"2659299328","Fair","Normal","Low","0863812416","2023-06-15T00:45:47.392Z","38"
18,Widget_Alpha_0,"6144075264","Fair","Normal","Very_High","0269178304","2023-10-27T15:28:10.240Z","26"
7,Engine_Rho_16,"4365633536","Fair","Weak","High","0685549312","2023-10-08T22:00:06.400Z","28"
17,System_Iota_8,"1699177600","Fair","Strong","Medium","0853546048","2023-07-08T11:27:45.152Z","38"
7,Part_Nu_12,"1604328192","Fair","Weak","Medium","0193903776","2023-11-04T05:02:26.304Z","32"
16,Tool_Epsilon_4,"5466316288","Fair","Weak","Medium","0431873856","2023-09-26T23:01:36.896Z","23"
13,Item_Zeta_5,"2692680448","Fair","Strong","Medium","0682795456","2023-07-07T01:16:28.544Z","27"
13,Tool_Epsilon_4,"2716285696","Fair","Normal","Medium","0700248960","2023-07-24T19:30:48.448Z","27"
1,Machine_Pi_15,"3016279808","Fair","Weak","Low","0495327168","2023-09-26T19:14:25.408Z","30"
21,Unit_Eta_6,"4820968448","Fair","Strong","High","0422298208","2023-09-17T10:14:00.448Z","26"
2,Assembly_Omicron_14,"0910307200","Fair","Weak","Low","0551817856","2023-09-24T14:26:51.008Z","42"
1,Item_Zeta_5,"2987480064","Fair","Normal","Low","0864701248","2023-08-14T21:51:06.752Z","43"
6,Apparatus_Gamma_2,"2368095744","Fair","Normal","Medium","0805492480","2023-09-30T09:01:11.040Z","43"
12,Device_Delta_3,"1502736256","Fair","Weak","Low","0472082912","2023-09-01T15:15:12Z","32"
10,Item_Zeta_5,"2468495872","Fair","Normal","Medium","0547606912","2023-09-26T23:21:16.544Z","36"
25,Apparatus_Gamma_2,"2263525376","Fair","Normal","Very_High","0295902496","2023-11-17T07:30:15.168Z","26"
20,Machine_Pi_15,"3738567424","Fair","Strong","Medium","0793450368","2023-06-13T03:06:23.104Z","31"
16,Unit_Eta_6,"2453683968","Fair","Weak","Medium","0296424224","2023-09-06T19:22:16.448Z","27"
4,System_Iota_8,"0652452992","Fair","Weak","Very_Low","0525907040","2023-07-26T17:56:05.248Z","25"
21,Gear_Mu_11,"6708490240","Fair","Weak","Medium","0320170176","2023-09-28T15:59:12.896Z","20"
23,Engine_Rho_16,"5141083136","Fair","Strong","High","0770980352","2023-06-23T15:40:29.568Z","32"
10,Gear_Mu_11,"6806846976","Fair","Weak","High","0444261568","2023-09-26T22:15:44.384Z","29"
19,System_Iota_8,"1403702144","Fair","Normal","High","0609717376","2023-10-12T22:48:46.848Z","35"
13,Unit_Eta_6,"8273575424","Fair","Normal","Medium","0522179136","2023-06-29T17:18:37.568Z","23"
15,System_Iota_8,"2418039808","Fair","Normal","High","0399709600","2023-10-05T02:52:13.184Z","29"
23,Device_Delta_3,"5242680320","Fair","Strong","Medium","0859788864","2023-06-16T16:07:16.224Z","25"
19,Element_Xi_13,"1524025472","Fair","Strong","Low","0751753472","2023-07-20T15:29:53.664Z","24"
14,Component_Kappa_9,"2439495680","Fair","Strong","Medium","0844775744","2023-07-20T17:38:46.912Z","32"
18,Gadget_Beta_1,"1397958656","Fair","Strong","High","0871184448","2023-10-04T05:16:47.488Z","52"
17,Assembly_Omicron_14,"0560022272","Fair","Normal","High","0652141952","2023-11-09T16:41:42.656Z","42"
6,Device_Delta_3,"0439430464","Fair","Weak","Medium","0666401088","2023-10-10T23:31:04.320Z","44"
9,Apparatus_Gamma_2,"2764943872","Fair","Weak","Low","0574958016","2023-08-23T02:51:37.344Z","22"
14,Engine_Rho_16,"5627940864","Fair","Strong","Medium","0774112832","2023-05-29T19:44:03.072Z","28"
8,Tool_Epsilon_4,"1044082368","Fair","Normal","Low","0610311552","2023-09-18T23:54:59.968Z","34"
1,Item_Zeta_5,"4169984512","Fair","Weak","Low","0472863936","2023-08-25T09:15:18.912Z","29"
4,Widget_Alpha_0,"0916127552","Fair","Weak","Low","0422748800","2023-09-24T12:04:51.328Z","38"
12,Gadget_Beta_1,"5119278592","Poor","Normal","Medium","0572297408","2023-06-23T19:32:03.200Z","23"
19,Apparatus_Gamma_2,"8318590464","Poor","Strong","High","0864139712","2023-07-20T18:13:44.064Z","35"
23,Apparatus_Gamma_2,"2252869888","Fair","Normal","Very_High","0327352736","2023-11-12T01:42:41.408Z","33"
8,Item_Zeta_5,"7605153280","Fair","Weak","High","0523104000","2023-10-27T08:30:55.488Z","31"
7,Apparatus_Gamma_2,"1208334592","Fair","Normal","High","0667598336","2023-10-29T11:00:52.352Z","43"
6,Tool_Epsilon_4,"0676598272","Fair","Normal","Low","0750525248","2023-09-10T22:11:05.856Z","44"
13,Item_Zeta_5,"0704566848","Excellent","Normal","Medium","0543109440","2023-11-01T13:45:43.168Z","43"
