quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number,Date
6,Apparatus_Gamma_2,"4334213632","Fair","Normal","Medium","0716167232","2023-07-31T15:49:36.384Z"
12,Widget_Alpha_0,"1462844672","Fair","Normal","Medium","0821918464","2023-09-11T03:32:13.440Z"
5,Machine_Pi_15,"0669580992","Excellent","Weak","Medium","0578926592","2023-10-19T12:29:59.680Z"
14,Gear_Mu_11,"2485635840","Fair","Strong","Medium","0640160192","2023-08-12T17:29:45.216Z"
15,Module_Lambda_10,"2156686592","Fair","Weak","Very_High","0341887808","2023-11-08T02:06:06.336Z"
6,Tool_Epsilon_4,"3126013696","Fair","Weak","Medium","0378169472","2023-09-28T04:17:58.784Z"
13,Piece_Theta_7,"2447443968","Fair","Normal","Medium","0757983936","2023-09-10T19:20:42.240Z"
14,System_Iota_8,"5420658176","Fair","Normal","High","0432689504","2023-10-15T21:18:02.240Z"
5,Apparatus_Gamma_2,"1009838848","Fair","Weak","Very_Low","0485790304","2023-08-21T17:28:24.320Z"
15,Component_Kappa_9,"4286859008","Fair","Normal","High","0662056000","2023-09-10T06:44:51.328Z"
25,Module_Lambda_10,"5021511680","Fair","Weak","Very_High","0194529616","2023-10-23T00:12:14.208Z"
11,System_Iota_8,"6332532224","Fair","Normal","Medium","0637291648","2023-07-13T00:39:10.080Z"
10,Module_Lambda_10,"7329118720","Fair","Normal","High","0596114176","2023-07-19T22:38:27.328Z"
6,Tool_Epsilon_4,"5787270656","Fair","Normal","Very_Low","0782139392","2023-08-05T11:03:39.264Z"
14,Element_Xi_13,"0384072064","Fair","Weak","High","0535791936","2023-11-20T20:22:24Z"
11,Gadget_Beta_1,"4150741760","Fair","Weak","Medium","0351166368","2023-09-29T22:03:38.368Z"
15,Part_Nu_12,"5637349888","Fair","Normal","Medium","0304915360","2023-09-28T13:56:52.864Z"
15,Tool_Epsilon_4,"6932524032","Poor","Strong","High","0629896384","2023-07-17T07:47:57.056Z"
8,Device_Delta_3,"5249370112","Fair","Normal","High","0709941504","2023-09-18T18:46:58.816Z"
11,Engine_Rho_16,"4223301888","Fair","Weak","Very_High","0375192768","2023-10-23T19:21:18.080Z"
20,Engine_Rho_16,"5289905152","Fair","Normal","High","0311278208","2023-10-23T01:39:37.088Z"
6,Gadget_Beta_1,"1396756480","Fair","Weak","Low","0571040640","2023-09-16T18:41:12.704Z"
21,Gear_Mu_11,"2233382400","Fair","Normal","Medium","0462148032","2023-10-30T20:54:40.384Z"
11,Item_Zeta_5,"1391561600","Fair","Weak","High","0476532576","2023-10-22T05:55:36.064Z"
9,Gear_Mu_11,"0872119936","Fair","Weak","Medium","0250459904","2023-10-06T17:27:49.504Z"
16,Item_Zeta_5,"6674944512","Fair","Weak","Medium","0460532864","2023-09-02T07:33:52.256Z"
18,Machine_Pi_15,"0547165568","Fair","Normal","High","0606042240","2023-11-02T03:51:08.032Z"
16,Apparatus_Gamma_2,"2143154432","Poor","Normal","Medium","0708527936","2023-09-20T21:27:51.040Z"
14,Apparatus_Gamma_2,"2248540160","Excellent","Weak","Medium","0480931392","2023-11-15T12:01:55.200Z"
2,Device_Delta_3,"2986846208","Fair","Weak","Low","0553457280","2023-08-07T14:28:12.928Z"
8,Machine_Pi_15,"1110844288","Fair","Weak","Medium","0468807264","2023-09-27T08:23:02.400Z"
18,Element_Xi_13,"4153997056","Fair","Normal","High","0363882240","2023-08-27T05:33:53.536Z"
18,Tool_Epsilon_4,"0174040192","Fair","Strong","Medium","0882147200","2023-08-02T05:32:46.976Z"
5,Component_Kappa_9,"2583442944","Fair","Weak","High","0364574784","2023-11-17T23:40:11.136Z"
10,Gadget_Beta_1,"0992933504","Poor","Normal","Medium","0788478016","2023-09-09T01:32:51.584Z"
23,Device_Delta_3,"2613314048","Poor","Strong","Very_High","0615685184","2023-10-25T15:50:48.064Z"
15,Gadget_Beta_1,"4897684992","Fair","Normal","High","0529151008","2023-10-31T14:58:12.096Z"
14,Gear_Mu_11,"4705106432","Fair","Normal","Medium","0571032000","2023-06-26T15:06:32.832Z"
22,Assembly_Omicron_14,"4036750080","Fair","Strong","High","0801215168","2023-09-16T15:50:49.088Z"
7,Unit_Eta_6,"0523885792","Fair","Strong","Medium","0835198720","2023-08-01T06:49:38.048Z"
11,Component_Kappa_9,"5535007744","Fair","Normal","Medium","0292472832","2023-10-03T02:42:04.928Z"
1,Widget_Alpha_0,"0761325376","Fair","Normal","Medium","0913189504","2023-09-03T22:22:35.008Z"
23,Item_Zeta_5,"0584581504","Fair","Strong","High","0806064320","2023-11-01T06:35:21.984Z"
5,Module_Lambda_10,"1941235072","Fair","Normal","Low","0845339712","2023-08-02T01:10:38.336Z"
21,System_Iota_8,"2889698816","Fair","Normal","Very_High","0618647232","2023-11-23T02:52:38.784Z"
5,Unit_Eta_6,"0937645760","Fair","Strong","Medium","0958909248","2023-08-05T22:16:29.440Z"
23,Gear_Mu_11,"2353969152","Poor","Strong","Very_High","0599912384","2023-10-21T20:14:30.912Z"
17,Module_Lambda_10,"5066699264","Fair","Normal","Medium","0319736256","2023-09-20T11:40:12.672Z"
12,Module_Lambda_10,"2560898304","Fair","Normal","Low","0591211712","2023-08-23T12:34:53.568Z"
4,Gear_Mu_11,"1707351552","Fair","Normal","Medium","0803419904","2023-09-24T18:51:10.720Z"
7,Apparatus_Gamma_2,"4229500416","Fair","Weak","Medium","0492751648","2023-10-05T15:14:57.664Z"
20,Apparatus_Gamma_2,"2637807104","Fair","Strong","Medium","0575939200","2023-09-27T02:09:29.088Z"
11,Element_Xi_13,"1659042176","Fair","Strong","Medium","0756055296","2023-09-10T17:57:41.504Z"
15,Gadget_Beta_1,"1777792256","Fair","Strong","Medium","0490946880","2023-09-14T05:07:09.952Z"
20,Piece_Theta_7,"4981041664","Fair","Normal","High","0334182016","2023-09-04T12:03:58.080Z"
19,Module_Lambda_10,"2594060288","Fair","Strong","Low","0607398720","2023-06-05T08:45:56.608Z"
8,Widget_Alpha_0,"1606682880","Fair","Strong","Medium","0706156352","2023-09-10T21:14:17.984Z"
10,Module_Lambda_10,"3672044800","Fair","Weak","High","0432262240","2023-08-22T07:20:42.752Z"
10,Part_Nu_12,"2245719040","Fair","Normal","Medium","0636882240","2023-08-19T15:50:53.184Z"
16,Item_Zeta_5,"1456145024","Poor","Normal","Very_High","0709038080","2023-11-21T13:42:14.272Z"
2,Machine_Pi_15,"3416629504","Fair","Normal","Low","0597514432","2023-07-07T19:57:08.480Z"
