quantity,productName,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number
21,Element_Xi_13,"Poor","Strong","High","0847267328"
1,Part_Nu_12,"Fair","Normal","Low","0840247616"
9,Item_Zeta_5,"Excellent","Normal","Medium","0675758144"
21,Device_Delta_3,"Fair","Strong","High","0623458816"
11,Machine_Pi_15,"Fair","Weak","High","0578852032"
7,Part_Nu_12,"Fair","Weak","Medium","0202151328"
14,Gear_Mu_11,"Fair","Weak","Medium","0511041568"
12,Apparatus_Gamma_2,"Fair","Normal","Medium","0642835328"
10,Module_Lambda_10,"Fair","Normal","Medium","0529626720"
4,Element_Xi_13,"Fair","Normal","Low","0750267392"
15,Assembly_Omicron_14,"Fair","Weak","High","0388088640"
5,Engine_Rho_16,"Fair","Normal","Low","0881911616"
10,Item_Zeta_5,"Fair","Normal","Medium","0633464640"
15,Item_Zeta_5,"Fair","Strong","Medium","0908566208"
17,Item_Zeta_5,"Fair","Strong","Very_High","0826792000"
11,Engine_Rho_16,"Excellent","Normal","Low","0723556160"
3,Apparatus_Gamma_2,"Fair","Normal","Medium","0576750208"
16,Device_Delta_3,"Fair","Normal","Very_High","0633333696"
9,System_Iota_8,"Fair","Weak","High","0217450048"
9,Widget_Alpha_0,"Fair","Normal","High","0924973120"
16,Widget_Alpha_0,"Fair","Weak","High","0458583840"
11,Unit_Eta_6,"Fair","Weak","High","0292829088"
12,Unit_Eta_6,"Fair","Weak","High","0424384928"
22,Engine_Rho_16,"Poor","Strong","High","0743775040"
21,Gear_Mu_11,"Fair","Strong","Very_High","0800727872"
18,Engine_Rho_16,"Poor","Strong","High","0708155840"
9,Tool_Epsilon_4,"Fair","Normal","Medium","0508017728"
15,Assembly_Omicron_14,"Fair","Strong","Medium","0901744128"
14,Element_Xi_13,"Poor","Normal","High","0645417920"
12,System_Iota_8,"Fair","Normal","Medium","0749814400"
9,System_Iota_8,"Fair","Normal","Medium","0632762432"
11,Tool_Epsilon_4,"Fair","Weak","Low","0395506976"
9,Gear_Mu_11,"Fair","Weak","Medium","0150070880"
9,Tool_Epsilon_4,"Fair","Strong","Low","0897391296"
8,Apparatus_Gamma_2,"Fair","Strong","Medium","0870835008"
3,Module_Lambda_10,"Fair","Weak","Low","0829306368"
13,Module_Lambda_10,"Fair","Strong","High","0781563072"
22,System_Iota_8,"Fair","Weak","High","0130145104"
25,Tool_Epsilon_4,"Fair","Normal","Very_High","0627620800"
15,Tool_Epsilon_4,"Fair","Normal","High","0669187904"
18,Component_Kappa_9,"Fair","Weak","Very_High","0377409952"
10,Element_Xi_13,"Fair","Normal","Medium","0633311744"
8,Apparatus_Gamma_2,"Fair","Normal","Low","0822096704"
18,Module_Lambda_10,"Fair","Normal","High","0442055520"
22,Gear_Mu_11,"Fair","Strong","High","0833551936"
2,Module_Lambda_10,"Fair","Weak","Very_Low","0771956288"
9,Machine_Pi_15,"Fair","Weak","Medium","0378105472"
10,Device_Delta_3,"Fair","Normal","High","0904211520"
15,Apparatus_Gamma_2,"Fair","Normal","Low","0448924288"
12,Element_Xi_13,"Fair","Normal","High","0715471232"
20,Item_Zeta_5,"Fair","Normal","High","0450281728"
18,Gear_Mu_11,"Fair","Strong","High","0833915008"
24,Assembly_Omicron_14,"Poor","Strong","Very_High","0741153984"
19,System_Iota_8,"Poor","Normal","High","0754423488"
19,Element_Xi_13,"Fair","Normal","Medium","0302356672"
10,Item_Zeta_5,"Fair","Strong","Medium","0885917632"
5,Widget_Alpha_0,"Fair","Normal","Low","0413186368"
4,Part_Nu_12,"Poor","Normal","Low","0867865536"
13,Piece_Theta_7,"Fair","Strong","Medium","0945940160"
13,Element_Xi_13,"Poor","Strong","Medium","0881720448"
6,System_Iota_8,"Fair","Normal","Medium","0474442144"
11,System_Iota_8,"Fair","Weak","High","0361662592"
15,Module_Lambda_10,"Fair","Normal","Medium","0636937600"
10,Piece_Theta_7,"Fair","Normal","Medium","0704460480"
6,Module_Lambda_10,"Fair","Normal","Low","0688082688"
